id,probe,fixture,mime_types,ground_truth_extensions,ground_truth_filenames,review_status,format_validity,validator,identifiability,reproduction_method,declared_reproduction_tier,disk_sha_consistency,reproduction_verified,pinned_source_sha_verified,source_manifest_status,sha256,sha256_on_disk,evidence_status
sample-aiff,.aiff,tests/fixtures/sample.aiff,audio/x-aiff,.aiff,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,c072c0c96226fcf876a95b95c6da7a499be2914210d66797ce31199e89a2c1d5,c072c0c96226fcf876a95b95c6da7a499be2914210d66797ce31199e89a2c1d5,missing
sample-au,.au,tests/fixtures/sample.au,audio/basic,.au,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,95f2d68a32e225d2af366e3c4593b9963a4b9a4fc89f102058123002907e6fee,95f2d68a32e225d2af366e3c4593b9963a4b9a4fc89f102058123002907e6fee,missing
sample-avi,.avi,tests/fixtures/sample.avi,video/x-msvideo,.avi,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,3b19d9b199c2da37ad28b3c24a64a4ae808032edfc7f58921e6b07a26baa0a71,3b19d9b199c2da37ad28b3c24a64a4ae808032edfc7f58921e6b07a26baa0a71,missing
sample-bmp,.bmp,tests/fixtures/sample.bmp,image/bmp,.bmp,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,ac1e8d81d6e89daac2e193446cd13822c6f441da99f70878bdd2f8e98ea25dcf,ac1e8d81d6e89daac2e193446cd13822c6f441da99f70878bdd2f8e98ea25dcf,missing
sample-csv,.csv,tests/fixtures/sample.csv,text/csv,.csv,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,6be0a447942c948d5493bfd711ace67e27fe1b442d636e9c3cf7484eba5ba466,6be0a447942c948d5493bfd711ace67e27fe1b442d636e9c3cf7484eba5ba466,missing
sample-deb,.deb,tests/fixtures/sample.deb,application/vnd.debian.binary-package,.deb,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,7a50dfdc0592e745eb4d8cbb21c29e99038226a501c954c5432e3b10683c1b76,7a50dfdc0592e745eb4d8cbb21c29e99038226a501c954c5432e3b10683c1b76,missing
sample-diff,.diff,tests/fixtures/sample.diff,text/x-diff,.diff; .patch,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,d385474b801bc7009bd4d4d22f70b533d483ce5d0d928aaf5527a288f971c37e,d385474b801bc7009bd4d4d22f70b533d483ce5d0d928aaf5527a288f971c37e,missing
sample-doc,.doc,tests/fixtures/sample.doc,application/msword,.doc,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,717585c0a88f20862c86220163dd03da87cd743970354c6b29add32725f2e833,717585c0a88f20862c86220163dd03da87cd743970354c6b29add32725f2e833,missing
sample-docx,.docx,tests/fixtures/sample.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,.docx; .docm,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,be4fc1bf778ad8183f714e09b9df40669de34e9ecbc3adecfc8953f00749036f,be4fc1bf778ad8183f714e09b9df40669de34e9ecbc3adecfc8953f00749036f,missing
sample-dwg,.dwg,tests/fixtures/sample.dwg,image/vnd.dwg,.dwg,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,6045fa1a79cbf72707e870973e1fae8ee385386c94d7b0556463fbc1f1433b82,6045fa1a79cbf72707e870973e1fae8ee385386c94d7b0556463fbc1f1433b82,missing
sample-eml,.eml,tests/fixtures/sample.eml,message/rfc822,.eml,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,5959fde12461e8be4b8eac1749d219dbe14cec37f7ac7115ee975f47af58e2e4,5959fde12461e8be4b8eac1749d219dbe14cec37f7ac7115ee975f47af58e2e4,missing
sample-eot,.eot,tests/fixtures/sample.eot,application/vnd.ms-fontobject,.eot,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,0ad2c77f0f43623498392b13658b341e4de139a1ca04776fa8f2208048ee8d3f,0ad2c77f0f43623498392b13658b341e4de139a1ca04776fa8f2208048ee8d3f,missing
sample-eps,.eps,tests/fixtures/sample.eps,application/postscript,.eps,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,9251da4db97cdfd1bb0e1541a7da0416af9e1a041ce116a3e1012ef37e63aa5f,9251da4db97cdfd1bb0e1541a7da0416af9e1a041ce116a3e1012ef37e63aa5f,missing
sample-epub,.epub,tests/fixtures/sample.epub,application/epub+zip,.epub,,excluded,needs_review,pending,,generated:scripts.generators; tier=exact-byte,exact-byte,SHA256 match,not-executed,not-applicable,excluded,9cfe418c76f7ea34f0ebf4484049f544c8f44b03aa2d385b98769c77aa7706bd,9cfe418c76f7ea34f0ebf4484049f544c8f44b03aa2d385b98769c77aa7706bd,missing
